name,description,centroid_lon,centroid_lat,bbox_west,bbox_south,bbox_east,bbox_north
ML6/2,,-1.8429748061816391,6.440067829463657,-1.8583333333,6.4166666667,-1.8333333333,6.4583333333
ML2/6,,-2.2277636054470635,6.167049319738464,-2.2375,6.1458333333,-2.2166666667,6.1916666667
SL1/86,,0.4686805555569223,5.824541666671888,0.4291666667,5.7875,0.5083333333,5.8666666667
SL1/87,,0.5443749999776,5.814930555545889,0.5041666667,5.7791666667,0.5833333333,5.85
QL6/565,,-1.6585416666812502,6.288958333331249,-1.6608333333,6.2875,-1.6566666667,6.29
SSMP 618 CR,,-1.5666437505421513,5.578217833897997,-1.5681055555555556,5.576822222222222,-1.5651833333333334,5.579613888888889
AR/1440,,-1.2992935380086437,6.395846988298843,-1.300836111111111,6.394444444445,-1.2975055555555555,6.397505555555556
ER/835,,-0.6594642856653061,6.357321428540815,-0.6608333333,6.3558333333,-0.6583333333,6.3583333333
SSMP/ER/236,,-0.8925055555555556,6.478334722222221,-0.8933305555555555,6.476386111111111,-0.8916805555555556,6.480283333333333
SSMP/AR/2000,,-1.9543333333320003,6.155250000018,-1.9558333333,6.1541666667,-1.9525,6.1566666667
SSMP/5/1351,,-0.8201893939599171,6.264128787888014,-0.8216666667,6.2616666667,-0.8191666667,6.2658333333
WR/1583,,-2.152992424278926,5.382613636366116,-2.1541666667,5.3808333333,-2.1516666667,5.3841666667
SSMP/WR/338,,-1.9483333333500001,5.9087499999999995,-1.95,5.9075,-1.9466666667,5.91
SSMP/15/1,,-2.157499999966666,8.570833333349999,-2.16,8.5691666667,-2.155,8.5725
SSMP/15/2,,-2.1537500000125,8.560624999974998,-2.155,8.5583333333,-2.1516666667,8.5625
AR/237,,-1.9678472222201382,6.087152777792359,-1.97,6.085,-1.9658333333,6.0891666667
SSMP/AR/2157,,-1.45000000004375,6.388854166662501,-1.4516666667,6.3866666667,-1.4491666667,6.3908333333
